"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"2",32,0.0127,0.622,218293,0.89,0.124,-7.043,0.03,115.002,0.531,16
"3",29,0.00306,0.62,215613,0.755,0.534,-4.617,0.0345,127.994,0.333,9
"5",33,0.00465,0.638,222369,0.587,0.157,-6.266,0.0413,145.036,0.323,16
"10",23,0.00934,0.578,204800,0.731,0.111,-7.091,0.173,139.933,0.203,10
"11",31,0.855,0.607,170463,0.158,0.106,-13.787,0.0345,57.528,0.307,27
"12",28,0.0337,0.513,165132,0.828,0.109,-5.439,0.0609,178.543,0.0591,4
"13",32,0.016,0.66,236089,0.892,0.163,-3.464,0.0645,128.043,0.111,23
"15",28,0.000194,0.601,243857,0.969,0.409,-1.553,0.185,139.911,0.198,7
"16",51,0.00331,0.391,240000,0.957,0.112,-2.51,0.0904,100.024,0.121,58
"18",30,0.158,0.66,266282,0.784,0.0978,-4.396,0.0571,127.958,0.622,25
"19",36,6.02e-05,0.259,185333,0.687,0.338,-3.231,0.0413,135.532,0.114,34
"20",51,0.0281,0.656,307328,0.653,0.112,-11.883,0.0396,117.999,0.199,10
"21",45,0.00804,0.516,241877,0.92,0.801,-4.37,0.0942,145.027,0.332,8
"22",30,0.00998,0.854,227756,0.335,0.0761,-9.062,0.0545,83.943,0.509,37
"23",44,0.00949,0.629,364347,0.697,0.118,-11.293,0.0765,162.266,0.844,31
"24",34,0.00825,0.659,215280,0.912,0.543,-4.212,0.0562,109.965,0.501,37
"27",22,0.00362,0.713,214000,0.824,0.311,-7.475,0.0409,120.002,0.454,52
"30",29,0.0336,0.74,222241,0.83,0.0961,-3.783,0.0603,135.057,0.155,20
"31",36,0.000556,0.585,264576,0.953,0.385,-2.734,0.0797,127.989,0.661,33
"33",46,0.0233,0.729,274286,0.869,0.0944,-7.569,0.129,141.957,0.138,7
"34",54,0.103,0.573,240627,0.686,0.112,-2.706,0.0549,60.191,0.29,8
"35",64,0.414,0.81,297775,0.591,0.072,-13.385,0.0638,136.028,0.297,15
"37",46,0.0478,0.646,253333,0.649,0.353,-5.259,0.117,141.957,0.727,18
"38",26,0.149,0.419,346324,0.879,0.261,-2.876,0.0481,109.055,0.61,14
"39",37,0.66,0.605,242773,0.555,0.28,-9.661,0.035,160.179,0.462,11
"43",35,7.88e-05,0.578,367307,0.76,0.0538,-5.865,0.0441,136.059,0.575,36
"45",32,0.0035,0.595,222147,0.904,0.0533,-6.805,0.0349,127.61,0.841,66
"47",49,0.00409,0.721,260952,0.938,0.38,-3.818,0.0921,126.011,0.161,12
"48",31,0.0579999999999999,0.815,233893,0.509,0.0954,-12.991,0.0486,113.475,0.771,10
"49",56,0.636,0.62,376733,0.318,0.118,-15.88,0.0399,150.379,0.2,15
"50",26,0.0378,0.716,259587,0.986,0.159,-3.46,0.0676,125.971,0.681,14
"51",50,0.111,0.714,196507,0.867,0.325,-6.295,0.0569,122.915,0.872,27
"52",60,0.173,0.542,237827,0.749,0.315,-8.333,0.0277,94.031,0.674,4
"54",34,0.718,0.518,233613,0.302,0.103,-13.57,0.0336,170.025,0.296,18
"55",33,0.0662,0.515,205507,0.998,0.521,-2.189,0.156,127.74,0.154,32
"56",42,0.627,0.774,356576,0.741,0.116,-8.007,0.0919,123.973,0.688,4
"57",48,0.0004089999999999,0.567,188764,0.898,0.249,-1.286,0.125,74.995,0.183,12
"58",40,0.0106,0.652,341400,0.312,0.0745,-17.647,0.0518,105.965,0.211,7
"59",42,0.00155,0.653,201410,0.899,0.148,-3.954,0.035,142.999,0.306,5
"61",28,0.216,0.626,337091,0.362,0.681,-14.892,0.0479,109.948,0.107,33
"62",39,0.0816,0.689,202333,0.874,0.272,-5.275,0.0464,121.019,0.961,23
"65",35,0.0143,0.502,268000,0.869,0.291,-3.899,0.0981,150.119,0.415,30
"66",34,0.0192,0.665,312227,0.888,0.112,-5.99,0.0409,127.628,0.622,47
"67",32,0.011,0.592,219293,0.695,0.336,-7.988,0.0291,117.858,0.658,13
"69",28,0.0003549999999999,0.814,378688,0.877,0.206,-6.84,0.0533,122.003,0.64,40
"70",39,0.00226,0.657,174227,0.709,0.2,-6.533,0.0579,80.499,0.779,24
"71",36,0.0214,0.619,233226,0.935,0.227,-5.377,0.163,141.957,0.309,47
"73",32,0.178,0.709,188680,0.677,0.0974,-9.092,0.0661,99.029,0.544,10
"74",45,0.0161,0.683,182000,0.68,0.319,-5.861,0.0376,145.042,0.557,7
"75",44,0.581,0.515,287227,0.574,0.185,-9.8,0.0279999999999999,136.993,0.274,15
"76",37,0.00163,0.736,241733,0.659,0.0905,-6.549,0.0352,108.871,0.285,10
"78",37,0.122,0.878,330000,0.921,0.258,-5.162,0.132,127.996,0.487,36
"79",51,0.0049,0.766,232275,0.839,0.114,-5.123,0.0409999999999999,124.992,0.113,24
"80",42,0.000367,0.518,270859,0.702,0.396,-5.039,0.0299,117.014,0.23,11
"82",30,0.000266,0.866,406605,0.697,0.0528,-7.201,0.067,124.014,0.776,38
"84",43,0.00268,0.483,195200,0.898,0.136,-5.623,0.0406,149.991,0.0393,6
"85",51,0.0846,0.508,230533,0.808,0.0719,-12.496,0.0403,94.255,0.209,12
"86",27,0.00413,0.482,228857,0.758,0.2,-3.333,0.057,125.005,0.253,10
"87",38,0.0009019999999999,0.569,264000,0.786,0.107,-4.375,0.137,150.022,0.396,23
"88",31,0.0086,0.561,218200,0.821,0.103,-8.677,0.0289,119.711,0.854,9
"89",32,0.000516,0.571,183985,0.923,0.143,-2.597,0.0658,150.22,0.465,27
"90",35,0.166,0.637,206118,0.472,0.143,-4.984,0.108,84.599,0.22,13
"91",33,0.172,0.795,185333,0.518,0.17,-11.736,0.0986,115.008,0.585,10
"92",29,0.00105,0.8,257707,0.903,0.0833,-5.277,0.0727,123.876,0.634,27
"94",42,0.0021899999999999,0.539,212973,0.914,0.199,-5.786,0.0345,141.35,0.432,39
"95",45,0.4,0.381,230173,0.423,0.149,-12.356,0.0517,130.07,0.24,31
"96",40,0.000307,0.729,271827,0.464,0.0336,-11.667,0.0354,141.957,0.576,15
"97",56,0.946,0.542,247818,0.16,0.263,-21.672,0.0365,126.921,0.198,8
"98",28,0.0108,0.489,254453,0.776,0.273,-6.088,0.0351,75.516,0.436,12
"99",52,0.000962,0.8,326840,0.65,0.231,-9.145,0.0587,141.957,0.096,14
"102",32,0.0111,0.355,293172,0.674,0.0901,-9.093,0.0513,90.954,0.0356,12
"103",35,0.00591,0.644,186240,0.927,0.363,-4.651,0.0508,125.001,0.316,8
"104",40,9.19e-05,0.519,239667,0.818,0.426,-6.218,0.0596,183.975,0.544,30
"108",45,0.000449,0.43,231637,0.812,0.0531,-5.303,0.0669,149.998,0.286,10
